Function6 called 81 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 82 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 18 times Max cycle: 15277584  Min cycle: 8574969
Function15 called 66 times Max cycle: 58802176  Min cycle: 11328097
Function6 called 83 times Max cycle: 17145096  Min cycle: 5157179
Function16 called 19 times Max cycle: 28853288  Min cycle: 16320835
Function21 called 9 times Max cycle: 107885094  Min cycle: 102250958
Function15 called 67 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 48 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 84 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 85 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 20 times Max cycle: 11274077  Min cycle: 5401466
Function9 called 20 times Max cycle: 12296635  Min cycle: 5226918
Function15 called 68 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 49 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 69 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 50 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 70 times Max cycle: 58802176  Min cycle: 11328097
Function16 called 20 times Max cycle: 28853288  Min cycle: 16320835
Function3 called 11 times Max cycle: 54384389  Min cycle: 31119865
Function12 called 10 times Max cycle: 100718826  Min cycle: 92427089
Function6 called 86 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 87 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 19 times Max cycle: 15277584  Min cycle: 8574969
Function18 called 10 times Max cycle: 123042466  Min cycle: 99762360
Function15 called 71 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 51 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 88 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 89 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 21 times Max cycle: 11274077  Min cycle: 5401466
Function9 called 21 times Max cycle: 12296635  Min cycle: 5226918
Function15 called 72 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 52 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 90 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 91 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 20 times Max cycle: 15277584  Min cycle: 8574969
Function15 called 73 times Max cycle: 58802176  Min cycle: 11328097
Function6 called 92 times Max cycle: 17145096  Min cycle: 5157179
Function16 called 21 times Max cycle: 28853288  Min cycle: 16320835
Function21 called 10 times Max cycle: 107885094  Min cycle: 102250958
Function15 called 74 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 53 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 93 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 94 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 22 times Max cycle: 11274077  Min cycle: 5401466
Function9 called 22 times Max cycle: 12296635  Min cycle: 5226918
Function15 called 75 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 54 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 76 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 55 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 77 times Max cycle: 58802176  Min cycle: 11328097
Function16 called 22 times Max cycle: 28853288  Min cycle: 16320835
Function3 called 12 times Max cycle: 54384389  Min cycle: 31119865
Function12 called 11 times Max cycle: 100718826  Min cycle: 92427089
Function6 called 95 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 96 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 21 times Max cycle: 15277584  Min cycle: 8574969
Function18 called 11 times Max cycle: 123042466  Min cycle: 99762360
Function15 called 78 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 56 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 97 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 98 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 23 times Max cycle: 11274077  Min cycle: 5401466
Function9 called 23 times Max cycle: 12296635  Min cycle: 5226918
Function15 called 79 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 57 times Max cycle: 60084528  Min cycle: 16210281
